SiteId,Lon,Lat,x,y
58012,116.6561,34.6719,33040356,7277032
58013,116.9058,34.7533,33068166,7270034
58015,116.3333,34.45,33004403,7296086
58016,116.9667,34.1833,33074949,7318947
58026,118.0189,34.3942,33192139,7300873
58027,117.1586,34.2872,33096322,7310046
58035,118.3536,34.3319,33229416,7306215
58036,118.7136,34.5425,33269512,7288147
58038,118.7833,34.0833,33277275,7327508
58040,119.1269,34.8567,33315543,7261139
58041,119.4333,34.7833,33349669,7267454
58044,119.2347,34.5489,33327550,7287598
58045,119.6,34.2,33368235,7317517
58046,119.7781,34.4697,33388071,7294396
58047,119.2361,34.2575,33327706,7312591
58048,119.35,34.1167,33340391,7324649
58049,119.8,34.0167,33390510,7333206
58102,115.7333,33.7833,32937578,7353152
58107,115.2833,33.0167,32887459,7418435
58108,115.3333,33.2333,32893028,7400025
58109,115.65,33.1333,32928300,7408528
58112,116.45,30.7333,33017401,7610879
58113,116.75,33.9333,33050814,7340337
58114,116.1833,33.4833,32987697,7378742
58116,116.8333,33.9833,33060091,7336062
58117,116.2,33.1333,32989557,7408528
58118,116.5167,33.2667,33024830,7397184
58122,116.9833,33.6333,33076798,7365954
58125,117.5167,33.5833,33136206,7370218
58126,117.8667,33.4667,33175187,7380156
58127,117.2,32.9833,33100933,7421271
58128,117.35,33.3333,33117639,7391516
58129,117.8333,33.15,33171467,7407109
58130,117.95,33.9333,33184465,7340337
58131,118.22,33.9703,33214536,7337174
58132,118.6833,33.7167,33266137,7358838
58135,118.2167,33.4833,33214169,7378742
58138,118.5167,32.9833,33247582,7421271
58139,118.9133,33.3072,33291753,7393738
58140,119.3,33.7667,33334822,7354569
58141,118.9269,33.6378,33293268,7365570
58143,119.85,33.8,33396079,7351726
58145,119.15,33.5,33318116,7377319
58146,119.7667,33.4667,33386802,7380156
58147,118.9667,32.9833,33297701,7421271
58148,119.3444,33.2706,33339768,7396852
58150,120.2997,33.7486,33446165,7356115
58154,120.2,33.4333,33435061,7383001
58158,120.4833,33.2,33466614,7402857
58202,115.5667,32.6667,32919023,7448125
58203,115.7333,32.8667,32937578,7431168
58210,116.2333,32.65,32993266,7449540
58212,116.7667,32.7167,33052674,7443888
58214,116.3,32.3667,33000695,7473517
58215,116.7833,32.4333,33054523,7467884
58220,117.15,32.4667,33095364,7465059
58221,117.3,32.85,33112071,7432585
58222,117.55,32.85,33139915,7432585
58223,117.9833,32.8,33188174,7436826
58224,117.015,32.6442,33080328,7450031
58225,117.6667,32.5333,33152912,7459422
58230,118.2833,32.1167,33221587,7494637
58234,118.4167,32.4667,33236444,7465059
58235,118.8472,32.3686,33284391,7473356
58236,118.25,32.35,33217878,7474929
58237,118.59,32.0653,33255746,7498975
58238,118.9,31.9333,33290272,7510109
58239,119.3275,32.3719,33337885,7473077
58240,119.0167,32.6833,33303270,7446718
58241,119.4481,32.7919,33351317,7437513
58242,119.1586,32.2997,33319074,7479181
58243,119.8217,32.9456,33392927,7424472
58244,119.5861,32.4503,33366687,7466446
58245,119.4239,32.4114,33348622,7469737
58246,119.9944,32.5569,33412162,7457424
58247,119.7983,32.2744,33390321,7481319
58249,120.0525,32.1597,33418633,7491007
58250,120.1597,32.5089,33430572,7461488
58251,120.2833,32.85,33444338,7432585
58252,119.4667,32.1833,33353389,7489014
58254,120.45,32.5169,33462905,7460810
58255,120.5675,32.3675,33475992,7473449
58257,120.2586,31.9892,33441587,7505395
58259,120.9833,32.0833,33522302,7497456
58264,121.1833,32.3333,33544577,7476341
58265,121.6,32.0667,33590987,7498857
58268,121.0833,32.1,33533439,7496047
58269,121.65,31.7833,33596556,7522748
58306,115.8833,31.6833,32954284,7531168
58309,115.7667,31.1167,32941298,7578768
58311,116.5,31.7333,33022970,7526959
58314,116.3167,31.4,33002555,7554990
58316,116.9167,31.4667,33069380,7549385
58317,116.3667,30.8667,33008123,7599715
58319,116.95,31.0667,33073089,7582960
58320,117.1333,31.7333,33093504,7526959
58321,117.3,31.7833,33112071,7522748
58323,117.4667,31.8833,33130637,7514323
58326,117.8333,31.5833,33171467,7539582
58327,117.2833,31.2667,33110211,7566184
58329,117.8667,31.3333,33175187,7560592
58330,118.0833,31.75,33199311,7525553
58331,118.3667,31.7333,33230875,7526959
58334,118.3742,31.3867,33231711,7556107
58335,118.5167,31.5667,33247582,7540978
58336,118.5667,31.7,33253151,7529762
58337,118.1833,31.0833,33210449,7581569
58338,118.6,31.1167,33256859,7578768
58339,118.9,31.3333,33290272,7560592
58340,119.0344,31.6558,33305241,7533482
58341,119.5928,31.9828,33367433,7505935
58342,119.55,31.7167,33362666,7528356
58343,119.9781,31.8667,33410347,7515722
58344,119.2025,31.9606,33323963,7507807
58345,119.5,31.4308,33357098,7552402
58346,119.8097,31.3386,33391591,7560147
58349,120.5619,31.4147,33475368,7553755
58351,120.3,31.9,33446198,7512916
58352,120.7667,31.65,33498178,7533970
58353,120.5697,31.8586,33476237,7516405
58354,120.35,31.6167,33451767,7536772
58356,121.0,31.4,33524162,7554990
58358,120.4344,31.0797,33461167,7581871
58359,120.6167,31.1333,33481471,7577376
58360,121.2,31.9167,33546437,7511508
58361,121.36666699999999,31.1,33564999,7580169
58362,121.45,31.4,33574281,7554990
58365,121.2,31.383333,33546437,7556390
58366,121.5,31.666666999999997,33579850,7532568
58367,121.433333,31.2,33572424,7571781
58369,121.78333300000001,31.05,33611406,7584360
58370,121.5333,31.2333,33583558,7568987
58377,121.1075,31.5136,33536135,7545443
58414,116.3167,30.4333,33002555,7635950
58415,116.55,30.6667,33028539,7616449
58416,116.8167,30.75,33058243,7609482
58417,116.1333,30.1667,32982128,7658189
58418,116.6667,30.1333,33041536,7660973
58419,117.0167,30.1,33080518,7663748
58420,117.2333,30.7167,33104642,7612267
58421,117.8667,30.6333,33175187,7619241
58423,117.7833,30.4833,33165899,7631774
58424,116.9667,30.6167,33074949,7620629
58426,118.1333,30.3,33204880,7647074
58427,117.5,30.65,33134346,7617845
58428,117.5,30.2167,33134346,7654021
58429,117.85,30.9833,33173327,7589950
58431,118.3167,30.9,33225307,7596927
58432,118.4,30.6833,33234584,7615061
58433,118.75,30.9333,33273566,7594138
58435,118.5333,30.3,33249431,7647074
58436,118.9833,30.6167,33299550,7620629
58437,118.15,30.1333,33206740,7660973
58438,118.5833,30.0833,33254999,7665139
58441,119.4167,30.8667,33347820,7599715
58442,119.1833,31.1667,33321825,7574575
58443,119.8939,31.0208,33400969,7586808
58444,120.2853,30.4247,33444561,7636668
58446,119.7075,30.6308,33380208,7619450
58448,119.7025,30.2181,33379651,7653904
58449,119.95,30.05,33407217,7667913
58450,120.05,30.8667,33418354,7599715
58451,120.9333,30.8333,33516733,7602511
58452,120.7667,30.7333,33498178,7610879
58453,120.5,30.0667,33468474,7666522
58454,119.9839,30.5253,33410993,7628266
58455,120.65,30.52,33485180,7628709
58456,120.52,30.63,33470701,7619517
58457,120.1647,30.2261,33431129,7653237
58458,120.8964,30.5381,33512623,7627197
58459,120.2864,30.1772,33444684,7657314
58460,121.266667,30.816667,33553862,7603903
58461,121.11666699999999,31.133333,33537156,7577374
58462,121.183333,31.016666999999998,33544580,7587154
58463,121.5,30.883333,33579850,7598323
58464,121.1206,30.6467,33537594,7618121
58466,122.0767,30.5964,33644080,7622325
58467,121.2667,30.2,33553866,7655413
58468,121.1667,30.05,33542728,7667913
58469,121.9458,30.3153,33629501,7645798
58471,122.4231,30.6178,33682661,7620537
58472,122.45,30.7333,33685657,7610879
58473,122.8117,30.7283,33725941,7611297
58474,122.05,30.6333,33641106,7619241
58476,122.1758,30.3419,33655117,7643578
58477,122.1,30.0333,33646675,7669303
58478,122.0817,30.2444,33644637,7651711
58484,122.2,30.25,33657813,7651244
58487,122.6869,30.1892,33712042,7656314
58520,117.7167,29.85,33158481,7684560
58523,117.9333,29.9333,33182605,7677629
58530,118.4333,29.8667,33238293,7683171
58531,118.2833,29.7167,33221587,7695644
58534,118.1803,29.7894,33210115,7689600
58537,118.4,29.1333,33234584,7744049
58542,119.6833,29.8167,33377513,7687330
58543,119.0167,29.6167,33303270,7703953
58544,119.2667,29.4833,33331114,7715030
58546,119.8833,29.4667,33399788,7716408
58547,119.1833,29.0333,33321825,7752329
58548,119.4667,29.2167,33353389,7737140
58549,119.65,29.1167,33373804,7745424
58550,120.25,29.7,33440630,7697032
58553,120.8167,30.05,33503746,7667913
58554,120.8833,30.1667,33511164,7658189
58555,120.8833,29.5167,33511164,7712258
58556,120.8167,29.6,33503746,7705341
58557,120.0833,29.3333,33422063,7727474
58558,120.2167,29.2667,33436921,7732996
58559,120.97,29.1531,33520820,7742409
58560,120.4333,29.05,33461045,7750946
58561,121.6,29.9833,33590987,7673467
58562,121.55,29.7833,33585418,7690107
58563,121.8256,29.8811,33616114,7681973
58564,121.5897,29.4972,33589840,7713876
58565,121.3869,29.6917,33567253,7697722
58566,121.8833,29.4667,33622540,7716408
58567,121.4333,29.3167,33572421,7728851
58568,121.3833,29.1167,33566852,7745424
58569,121.95,29.2,33629969,7738523
58570,122.3,29.95,33668950,7676239
58571,122.2589,29.8706,33664373,7682846
58572,122.4503,29.9358,33685690,7677421
58574,122.0211,29.6289,33637888,7702940
58599,124.9,29.066667,33958528,7749566
58631,118.5,28.9,33245722,7763358
58632,118.6,28.7167,33256859,7778510
58633,118.9,29.0,33290272,7755085
58642,119.8,28.8833,33390510,7764739
58643,120.0333,28.9,33416494,7763358
58644,119.2833,28.6,33332963,7788148
58645,119.4872,28.4553,33355672,7800089
58646,119.9297,28.4614,33404956,7799586
58647,119.1325,28.0806,33316167,7830965
58648,119.635,27.9919,33372133,7838264
58652,120.7167,28.8667,33492609,7766112
58653,120.9219,28.8097,33515463,7770824
58654,120.0833,28.6667,33422063,7782640
58656,120.9667,28.0667,33520453,7832109
58657,120.2833,28.15,33444338,7825251
58658,120.6833,28.15,33488889,7825251
58659,120.65,28.0333,33485180,7834858
58660,121.2,28.8667,33546437,7766112
58661,121.5108,28.6625,33581052,7782987
58662,121.7067,29.0136,33602871,7753959
58663,121.9147,28.7186,33626037,7778353
58664,121.3667,28.3667,33565003,7807396
58665,121.4167,28.6181,33570572,7786654
58666,121.9,28.45,33624400,7800527
58667,121.2667,28.0833,33553866,7830743
58668,121.52,28.0958,33582077,7829714
58669,121.6244,28.2658,33593705,7815713
58696,124.9,28.516666999999998,33958528,7795026
58742,119.5642,28.1069,33364248,7828800
58745,119.0792,27.6211,33310231,7868737
58746,119.7,27.55,33379373,7874573
58750,120.0833,27.7833,33422063,7855415
58751,120.5667,27.6667,33475902,7864993
58752,120.65,27.7833,33485180,7855415
58753,120.7667,27.8,33498178,7854043
58755,120.3875,27.495,33455944,7879085
58758,120.4833,27.1667,33466614,7905993
58760,121.15,27.8333,33540868,7851306
58761,121.2333,28.0,33550146,7837598
58762,121.0833,27.7833,33533439,7855415
58763,121.1,28.1833,33535299,7822509
58764,121.0889,27.4597,33534063,7881981
58765,121.2,27.6333,33546437,7867735
